epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2785,1.97678,4.0242,1.33715,0.00019,0.0194,0.00015,6e-05,2.19486,4.33332,1.47827,0.000331395,0.000331395,0.000331395
2,31.7279,2.00394,3.89122,1.28517,0.80444,0.01241,0.00311,0.00129,2.3583,3.73673,1.5192,0.000661438,0.000661438,0.000661438
3,48.3878,1.85621,3.69419,1.15525,0.81211,0.05379,0.00948,0.00302,2.57351,3.46617,1.58746,0.000988181,0.000988181,0.000988181
