epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46953,2.84604,4.60469,1.87243,0.00152,0.04331,0.00105,0.00035,2.17526,5.36226,1.41977,0.000325203,0.000325203,0.000325203
2,9.1309,2.76941,4.52644,2.03046,0.00105,0.0283,0.00086,0.00027,1.94635,4.85786,1.37199,0.000652017,0.000652017,0.000652017
3,13.4135,2.86068,4.58031,1.84645,0.00105,0.0283,0.00086,0.00027,1.94635,4.85786,1.37199,0.000972231,0.000972231,0.000972231
4,18.0743,2.84668,4.38893,1.79856,0.00289,0.11269,0.0033,0.00101,2.1894,4.82363,1.43861,0.0009703,0.0009703,0.0009703
5,23.033,2.6894,4.33177,1.80379,0.67772,0.05882,0.0529,0.02448,2.14251,4.04063,1.39583,0.0009604,0.0009604,0.0009604
6,28.0207,2.3244,3.96809,1.70042,0.67772,0.05882,0.0529,0.02448,2.14251,4.04063,1.39583,0.0009505,0.0009505,0.0009505
7,32.7462,2.65747,4.06761,1.5992,0.85835,0.05882,0.04424,0.01823,2.23519,3.81959,1.46497,0.0009406,0.0009406,0.0009406
8,37.7797,2.44361,3.91141,1.52361,0.8072,0.02353,0.0097,0.00253,2.4339,4.0223,1.53374,0.0009307,0.0009307,0.0009307
9,42.5036,2.60721,4.14673,1.78445,0.8072,0.02353,0.0097,0.00253,2.4339,4.0223,1.53374,0.0009208,0.0009208,0.0009208
10,47.4395,2.57115,4.01779,1.63952,0.81841,0.05294,0.01529,0.00422,2.45618,3.87416,1.61881,0.0009109,0.0009109,0.0009109
11,52.3619,2.29741,3.89187,1.38774,0.84574,0.05882,0.03008,0.00804,2.61157,3.84382,1.67405,0.000901,0.000901,0.000901
12,57.2872,2.31781,3.81627,1.49431,0.84574,0.05882,0.03008,0.00804,2.61157,3.84382,1.67405,0.0008911,0.0008911,0.0008911
13,62.2456,2.43445,4.05087,1.53564,0.91328,0.05882,0.06421,0.01427,2.64142,3.65445,1.67575,0.0008812,0.0008812,0.0008812
14,67.3803,2.31441,3.79459,1.50479,0.91328,0.05882,0.06421,0.01427,2.64142,3.65445,1.67575,0.0008713,0.0008713,0.0008713
15,72.4285,2.53686,3.91501,1.71032,0.92204,0.08235,0.08097,0.01898,2.67795,3.44918,1.63411,0.0008614,0.0008614,0.0008614
16,77.6239,2.56381,3.74034,1.63996,0.90914,0.08824,0.06964,0.01344,2.80145,3.46969,1.67468,0.0008515,0.0008515,0.0008515
17,83.4507,2.44142,3.54654,1.62498,0.90914,0.08824,0.06964,0.01344,2.80145,3.46969,1.67468,0.0008416,0.0008416,0.0008416
18,88.3689,2.47321,3.70146,1.58801,0.90285,0.1,0.07295,0.01391,2.86085,3.5454,1.69199,0.0008317,0.0008317,0.0008317
19,93.1773,2.38199,3.59373,1.48499,0.9281,0.11176,0.11435,0.02394,2.77473,3.30143,1.68367,0.0008218,0.0008218,0.0008218
20,98.1917,2.37658,3.48353,1.46778,0.9281,0.11176,0.11435,0.02394,2.77473,3.30143,1.68367,0.0008119,0.0008119,0.0008119
21,103.273,2.313,3.59229,1.63191,0.93225,0.12941,0.14038,0.03266,2.6273,3.0502,1.64861,0.000802,0.000802,0.000802
22,108.508,2.35444,3.61705,1.50445,0.99185,0.13857,0.19265,0.06933,2.31653,2.85743,1.55173,0.0007921,0.0007921,0.0007921
23,114.098,2.46791,3.66825,1.62027,0.99185,0.13857,0.19265,0.06933,2.31653,2.85743,1.55173,0.0007822,0.0007822,0.0007822
24,119.515,2.08498,3.22299,1.45552,0.9958,0.15882,0.21012,0.0836,2.25773,2.79747,1.54196,0.0007723,0.0007723,0.0007723
25,125.609,2.50623,3.55828,1.64927,0.96076,0.13529,0.22094,0.08815,2.24142,2.78095,1.52439,0.0007624,0.0007624,0.0007624
26,131.278,2.23823,3.58774,1.50206,0.96076,0.13529,0.22094,0.08815,2.24142,2.78095,1.52439,0.0007525,0.0007525,0.0007525
27,137.186,2.58141,3.68939,1.67749,0.98368,0.15882,0.23167,0.08688,2.29455,2.67645,1.54205,0.0007426,0.0007426,0.0007426
28,142.183,2.26991,3.38922,1.52997,0.98368,0.15882,0.23167,0.08688,2.29455,2.67645,1.54205,0.0007327,0.0007327,0.0007327
29,148.097,1.8491,3.12505,1.28117,0.98861,0.15882,0.23375,0.08986,2.29874,2.58651,1.53487,0.0007228,0.0007228,0.0007228
30,153.941,2.33443,3.30723,1.57063,0.98568,0.14706,0.23662,0.09141,2.36178,2.59522,1.55854,0.0007129,0.0007129,0.0007129
31,159.524,2.25802,3.2085,1.50102,0.98568,0.14706,0.23662,0.09141,2.36178,2.59522,1.55854,0.000703,0.000703,0.000703
32,164.758,2.53673,3.41247,1.45865,0.98663,0.14706,0.21984,0.07469,2.51235,2.61877,1.63207,0.0006931,0.0006931,0.0006931
33,169.822,2.13182,3.0797,1.42319,0.98899,0.14706,0.22257,0.07506,2.47114,2.58559,1.608,0.0006832,0.0006832,0.0006832
34,176.276,2.46045,3.29698,1.64273,0.98899,0.14706,0.22257,0.07506,2.47114,2.58559,1.608,0.0006733,0.0006733,0.0006733
35,183.031,2.34238,3.42057,1.56156,0.99259,0.15299,0.21778,0.06896,2.53878,2.63837,1.64056,0.0006634,0.0006634,0.0006634
36,189.413,2.39304,3.20579,1.51674,0.99262,0.1535,0.21156,0.0701,2.45736,2.66796,1.60536,0.0006535,0.0006535,0.0006535
37,196.763,2.5,3.41529,1.61292,0.99262,0.1535,0.21156,0.0701,2.45736,2.66796,1.60536,0.0006436,0.0006436,0.0006436
38,209.494,2.33145,3.42825,1.5485,0.9905,0.15882,0.21017,0.07215,2.39546,2.7045,1.58532,0.0006337,0.0006337,0.0006337
39,218.609,2.27003,3.18973,1.50117,0.9905,0.15882,0.21017,0.07215,2.39546,2.7045,1.58532,0.0006238,0.0006238,0.0006238
40,224.65,2.47373,3.2181,1.61958,0.97171,0.15294,0.19047,0.06038,2.47402,2.77673,1.62556,0.0006139,0.0006139,0.0006139
41,232.028,2.221,3.12243,1.45409,0.96717,0.15294,0.20043,0.0677,2.41718,2.72503,1.59886,0.000604,0.000604,0.000604
42,238.876,2.25364,3.12139,1.5221,0.96717,0.15294,0.20043,0.0677,2.41718,2.72503,1.59886,0.0005941,0.0005941,0.0005941
43,246.376,2.10247,2.82721,1.47375,0.95186,0.13529,0.19205,0.05385,2.56096,2.75657,1.64217,0.0005842,0.0005842,0.0005842
44,255.98,2.32622,3.15185,1.59896,0.82438,0.12249,0.13956,0.03831,2.64511,2.79159,1.66568,0.0005743,0.0005743,0.0005743
45,262.921,2.22163,3.05377,1.51851,0.82438,0.12249,0.13956,0.03831,2.64511,2.79159,1.66568,0.0005644,0.0005644,0.0005644
46,271.706,2.06021,3.13825,1.42341,0.75944,0.1435,0.12685,0.03417,2.71624,2.86089,1.70299,0.0005545,0.0005545,0.0005545
47,281.023,2.2808,3.2178,1.53197,0.87087,0.1155,0.1563,0.04109,2.6373,2.74451,1.67268,0.0005446,0.0005446,0.0005446
48,288.297,2.12056,3.04489,1.46313,0.87087,0.1155,0.1563,0.04109,2.6373,2.74451,1.67268,0.0005347,0.0005347,0.0005347
49,296.023,2.21657,2.88371,1.50477,0.84817,0.15272,0.20274,0.06388,2.49862,2.56313,1.6136,0.0005248,0.0005248,0.0005248
50,302.112,2.26868,2.92399,1.49875,0.83368,0.17291,0.21779,0.07038,2.43496,2.48918,1.58601,0.0005149,0.0005149,0.0005149
51,309.722,2.26203,3.30342,1.50835,0.83368,0.17291,0.21779,0.07038,2.43496,2.48918,1.58601,0.000505,0.000505,0.000505
52,315.506,2.08161,2.93689,1.41221,0.80963,0.1611,0.21631,0.0815,2.34659,2.41802,1.54279,0.0004951,0.0004951,0.0004951
53,320.785,2.24575,2.92367,1.41826,0.80963,0.1611,0.21631,0.0815,2.34659,2.41802,1.54279,0.0004852,0.0004852,0.0004852
54,326.15,2.21252,3.22082,1.47656,0.87115,0.15289,0.22202,0.07821,2.34615,2.40961,1.53802,0.0004753,0.0004753,0.0004753
55,331.523,2.08068,2.90104,1.34993,0.85707,0.15649,0.22244,0.08169,2.3094,2.40235,1.52269,0.0004654,0.0004654,0.0004654
56,337.419,2.25274,2.93875,1.48086,0.85707,0.15649,0.22244,0.08169,2.3094,2.40235,1.52269,0.0004555,0.0004555,0.0004555
57,343.263,2.2892,2.85028,1.40867,0.93658,0.15244,0.22608,0.08345,2.29766,2.38413,1.51238,0.0004456,0.0004456,0.0004456
58,349.07,1.91492,2.69775,1.23348,0.95483,0.15269,0.23014,0.07621,2.3905,2.47216,1.54743,0.0004357,0.0004357,0.0004357
59,354.64,2.34616,3.23977,1.5574,0.95483,0.15269,0.23014,0.07621,2.3905,2.47216,1.54743,0.0004258,0.0004258,0.0004258
60,361.591,1.88729,2.6937,1.40441,0.92196,0.15722,0.22586,0.07429,2.40538,2.56123,1.54618,0.0004159,0.0004159,0.0004159
61,367.802,2.09405,3.08754,1.39415,0.93067,0.13529,0.24054,0.07683,2.44449,2.61757,1.55387,0.000406,0.000406,0.000406
62,373.467,1.97275,2.8013,1.38977,0.93067,0.13529,0.24054,0.07683,2.44449,2.61757,1.55387,0.0003961,0.0003961,0.0003961
63,379.821,2.31042,2.97784,1.63696,0.94493,0.14706,0.25488,0.07957,2.51016,2.58637,1.57532,0.0003862,0.0003862,0.0003862
64,385.427,2.13049,2.69121,1.38211,0.94026,0.14118,0.26784,0.08474,2.56517,2.60964,1.59821,0.0003763,0.0003763,0.0003763
65,391.449,2.1219,2.88816,1.40716,0.94026,0.14118,0.26784,0.08474,2.56517,2.60964,1.59821,0.0003664,0.0003664,0.0003664
66,396.903,2.23611,2.88496,1.55007,0.93397,0.14706,0.27458,0.08851,2.57421,2.65496,1.59346,0.0003565,0.0003565,0.0003565
67,401.893,1.86692,2.52867,1.26497,0.93397,0.14706,0.27458,0.08851,2.57421,2.65496,1.59346,0.0003466,0.0003466,0.0003466
68,407.872,2.20002,3.02861,1.42826,0.97192,0.12353,0.29121,0.09956,2.50599,2.54943,1.56323,0.0003367,0.0003367,0.0003367
69,413.894,2.03679,2.81809,1.42666,1,0.13944,0.29888,0.10468,2.48709,2.49359,1.54657,0.0003268,0.0003268,0.0003268
70,419.264,2.11718,2.72187,1.42547,1,0.13944,0.29888,0.10468,2.48709,2.49359,1.54657,0.0003169,0.0003169,0.0003169
71,424.264,2.23897,2.79712,1.50474,0.99261,0.15341,0.30971,0.11577,2.32401,2.41285,1.47763,0.000307,0.000307,0.000307
72,429.891,2.14217,2.79875,1.42183,0.99278,0.1572,0.32389,0.12496,2.27643,2.41874,1.45934,0.0002971,0.0002971,0.0002971
73,435.091,2.17862,2.74683,1.41532,0.99278,0.1572,0.32389,0.12496,2.27643,2.41874,1.45934,0.0002872,0.0002872,0.0002872
74,440.13,2.25092,2.75357,1.50984,0.99271,0.15565,0.31229,0.12533,2.20526,2.36205,1.43703,0.0002773,0.0002773,0.0002773
75,445.842,2.10378,2.98448,1.40598,0.98573,0.15882,0.31155,0.12543,2.20259,2.41564,1.43763,0.0002674,0.0002674,0.0002674
76,451.194,2.22113,2.91226,1.46812,0.98573,0.15882,0.31155,0.12543,2.20259,2.41564,1.43763,0.0002575,0.0002575,0.0002575
77,456.875,2.03287,2.69992,1.42001,0.99679,0.15882,0.30788,0.12576,2.16652,2.30542,1.4287,0.0002476,0.0002476,0.0002476
78,462.211,2.39618,3.03263,1.64951,0.99679,0.15882,0.30788,0.12576,2.16652,2.30542,1.4287,0.0002377,0.0002377,0.0002377
79,467.529,2.0443,2.61537,1.37479,0.98842,0.15294,0.30235,0.12489,2.17255,2.35651,1.43333,0.0002278,0.0002278,0.0002278
80,472.618,2.0237,2.691,1.35513,0.88633,0.15576,0.29966,0.12128,2.23657,2.31314,1.45485,0.0002179,0.0002179,0.0002179
81,477.696,2.09051,2.71883,1.45402,0.88633,0.15576,0.29966,0.12128,2.23657,2.31314,1.45485,0.000208,0.000208,0.000208
82,482.966,2.24685,2.98409,1.52959,0.59532,0.24184,0.30684,0.12486,2.25373,2.33119,1.46168,0.0001981,0.0001981,0.0001981
83,488.077,2.25168,2.90752,1.43885,0.60099,0.26036,0.31317,0.124,2.33205,2.44261,1.49274,0.0001882,0.0001882,0.0001882
84,493.15,2.13613,2.78565,1.51387,0.60099,0.26036,0.31317,0.124,2.33205,2.44261,1.49274,0.0001783,0.0001783,0.0001783
85,498.361,2.09238,2.84571,1.35562,0.41153,0.25417,0.30023,0.1172,2.33071,2.45015,1.4933,0.0001684,0.0001684,0.0001684
86,503.559,1.94313,2.69333,1.28559,0.37925,0.26623,0.31018,0.1121,2.41266,2.53512,1.53932,0.0001585,0.0001585,0.0001585
87,509.687,2.21184,2.60272,1.4631,0.37925,0.26623,0.31018,0.1121,2.41266,2.53512,1.53932,0.0001486,0.0001486,0.0001486
88,514.978,2.13551,2.69358,1.47267,0.44592,0.22396,0.30139,0.10831,2.448,2.5056,1.55327,0.0001387,0.0001387,0.0001387
89,521.306,1.86998,2.62402,1.21418,0.41866,0.25466,0.30549,0.1095,2.46312,2.53009,1.5607,0.0001288,0.0001288,0.0001288
90,527.27,2.22951,2.61847,1.52999,0.41866,0.25466,0.30549,0.1095,2.46312,2.53009,1.5607,0.0001189,0.0001189,0.0001189
91,533.076,1.57004,2.3715,1.05168,0.4018,0.27696,0.30083,0.10562,2.48854,2.53471,1.5749,0.000109,0.000109,0.000109
92,539.423,1.52101,2.18865,1.10024,0.4018,0.27696,0.30083,0.10562,2.48854,2.53471,1.5749,9.91e-05,9.91e-05,9.91e-05
93,545.886,1.54112,2.36216,1.10002,0.39987,0.26336,0.2997,0.10815,2.42368,2.33571,1.5416,8.92e-05,8.92e-05,8.92e-05
94,553.528,1.89954,2.3301,1.19005,0.39278,0.26336,0.29156,0.105,2.4146,2.43562,1.54038,7.93e-05,7.93e-05,7.93e-05
95,561.447,1.68501,2.19382,1.10581,0.39278,0.26336,0.29156,0.105,2.4146,2.43562,1.54038,6.94e-05,6.94e-05,6.94e-05
96,568.399,1.76748,2.27984,1.16107,0.41039,0.26969,0.29898,0.10407,2.44742,2.38369,1.55576,5.95e-05,5.95e-05,5.95e-05
97,574.857,1.89713,2.42854,1.25262,0.4229,0.27159,0.29665,0.10423,2.44948,2.39313,1.5574,4.96e-05,4.96e-05,4.96e-05
98,580.996,1.58602,2.17711,1.08672,0.4229,0.27159,0.29665,0.10423,2.44948,2.39313,1.5574,3.97e-05,3.97e-05,3.97e-05
99,587.168,1.85466,2.34297,1.22676,0.40936,0.25669,0.30228,0.10322,2.46931,2.40244,1.56571,2.98e-05,2.98e-05,2.98e-05
100,593.435,1.63764,2.33093,1.09588,0.41658,0.27117,0.29699,0.10505,2.41928,2.38162,1.54118,1.99e-05,1.99e-05,1.99e-05
