epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22298,2.5918,4.7581,1.81214,0,0,0,0,1.88922,4.56515,1.33143,1e-05,1e-05,1e-05
2,4.65321,2.83724,4.86922,1.90646,0,0,0,0,1.89392,4.56998,1.33617,2.98515e-05,2.98515e-05,2.98515e-05
3,5.92451,2.66047,4.93009,1.81121,0,0,0,0,1.89821,4.5671,1.33692,4.9505e-05,4.9505e-05,4.9505e-05
4,7.2752,2.82111,4.78156,1.8913,0,0,0,0,1.89494,4.55699,1.33263,6.89605e-05,6.89605e-05,6.89605e-05
5,8.62055,2.66708,5.00982,1.96406,0,0,0,0,1.90963,4.53439,1.32738,8.8218e-05,8.8218e-05,8.8218e-05
6,9.96611,2.49759,4.76647,1.85376,2e-05,0.00385,1e-05,0,1.92799,4.47605,1.30274,0.000107278,0.000107278,0.000107278
7,11.3456,2.42021,4.88509,1.66346,0.00016,0.02404,0.00013,4e-05,1.99803,4.42927,1.31103,0.000126139,0.000126139,0.000126139
8,12.6247,2.34794,4.62854,1.77345,0.00043,0.06078,0.00055,0.00012,2.08366,4.39962,1.34503,0.000144802,0.000144802,0.000144802
9,14.2566,2.18974,4.42649,1.55933,0.00044,0.06026,0.00111,0.00029,2.21735,4.38299,1.40729,0.000163268,0.000163268,0.000163268
10,15.6377,2.27898,4.25819,1.54263,0.00052,0.06861,0.0029,0.00076,2.2789,4.35075,1.42746,0.000181535,0.000181535,0.000181535
11,17.2916,2.19199,4.25508,1.51522,0.00048,0.06416,0.00482,0.00093,2.3202,4.266,1.40921,0.000199605,0.000199605,0.000199605
12,18.9239,2.16141,4.10214,1.40529,0.00056,0.07471,0.01056,0.00353,2.34852,4.21402,1.41674,0.000217476,0.000217476,0.000217476
13,20.2764,2.23441,3.85212,1.39242,0.00074,0.07512,0.01028,0.00397,2.40419,4.20455,1.45999,0.00023515,0.00023515,0.00023515
14,21.704,2.03883,3.67666,1.40075,0.00122,0.10761,0.03304,0.01423,2.51613,4.20711,1.55302,0.000252626,0.000252626,0.000252626
15,22.9992,2.0587,3.44141,1.34707,0.00222,0.19993,0.05789,0.0229,2.61053,4.20211,1.64426,0.000269903,0.000269903,0.000269903
16,24.3048,2.14573,3.54636,1.37909,0.00246,0.20873,0.06286,0.02729,2.57914,4.16488,1.6553,0.000286983,0.000286983,0.000286983
17,25.5443,2.044,3.26201,1.37671,0.00221,0.16907,0.04229,0.01889,2.56207,4.10906,1.63804,0.000303864,0.000303864,0.000303864
18,29.7842,2.02738,3.11279,1.33682,0.00356,0.27947,0.08768,0.03334,2.48817,3.99633,1.57668,0.000320548,0.000320548,0.000320548
19,31.0504,2.27655,3.18467,1.43796,0.00487,0.39692,0.12906,0.04107,2.40658,3.75452,1.52346,0.000337033,0.000337033,0.000337033
20,32.3608,2.04272,3.20415,1.32479,0.0048,0.48175,0.19654,0.05521,2.26048,3.40197,1.43611,0.000353321,0.000353321,0.000353321
21,33.735,2.0992,3.12223,1.45403,0.97992,0.07416,0.19069,0.05291,2.18199,3.21248,1.42788,0.00036941,0.00036941,0.00036941
22,35.0907,2.08017,3.05963,1.31581,0.99293,0.03764,0.17684,0.04674,2.18595,3.16254,1.44622,0.000385302,0.000385302,0.000385302
23,36.479,1.97604,2.72837,1.36182,0.99373,0.04263,0.20939,0.06278,2.21355,3.04756,1.45846,0.000400995,0.000400995,0.000400995
24,38.0456,2.00707,2.67219,1.32376,0.98494,0.06777,0.26747,0.08671,2.2582,2.83688,1.48014,0.00041649,0.00041649,0.00041649
25,39.3987,1.9796,2.55943,1.24693,0.9931,0.07721,0.23159,0.06878,2.3063,2.9071,1.47876,0.000431788,0.000431788,0.000431788
26,40.6725,1.92601,2.47985,1.2804,0.99191,0.06544,0.2355,0.07088,2.39488,2.83173,1.5414,0.000446887,0.000446887,0.000446887
27,41.9134,2.01229,2.46079,1.31105,0.74635,0.078,0.23716,0.0683,2.43815,2.76166,1.61474,0.000461789,0.000461789,0.000461789
28,43.2577,2.04088,2.35499,1.36195,0.68679,0.08642,0.31157,0.11824,2.1047,2.881,1.36924,0.000476492,0.000476492,0.000476492
29,44.5292,2.02342,2.52067,1.38637,0.99581,0.04151,0.3149,0.13099,2.00482,2.96199,1.31324,0.000490998,0.000490998,0.000490998
30,45.7602,2.14195,2.40374,1.39403,1,0.03944,0.33532,0.13519,2.09842,2.86072,1.37962,0.000505305,0.000505305,0.000505305
31,47.0059,1.89508,2.15071,1.3243,0.6838,0.10887,0.35448,0.1598,2.00878,2.73549,1.34981,0.000519415,0.000519415,0.000519415
32,48.3402,1.96085,2.37838,1.32901,0.69552,0.08407,0.39298,0.1848,1.93908,2.5397,1.29822,0.000533327,0.000533327,0.000533327
33,49.6371,1.90706,2.4698,1.39476,0.85946,0.10393,0.41418,0.19471,1.88172,2.45419,1.25245,0.00054704,0.00054704,0.00054704
34,51.2447,1.88327,2.14617,1.32068,0.99489,0.10512,0.40584,0.17413,1.88189,2.52187,1.25503,0.000560555,0.000560555,0.000560555
35,52.5518,1.93988,2.15976,1.36347,1,0.08412,0.4033,0.15028,1.98504,2.66896,1.32269,0.000573873,0.000573873,0.000573873
36,53.8238,2.00437,2.40353,1.26268,0.78952,0.07487,0.36889,0.10543,2.18342,2.80853,1.49701,0.000586993,0.000586993,0.000586993
37,55.9591,1.87977,2.38266,1.38934,0.9389,0.07297,0.39811,0.12572,2.07779,2.76623,1.42688,0.000599914,0.000599914,0.000599914
38,57.2232,1.84027,2.10972,1.294,0.93145,0.06715,0.41587,0.17832,1.86771,2.77333,1.28579,0.000612638,0.000612638,0.000612638
39,59.1339,1.87615,1.99993,1.33936,0.00752,0.71258,0.38981,0.1524,1.92159,2.92564,1.30745,0.000625163,0.000625163,0.000625163
40,60.3458,1.87245,2.25504,1.24936,0.00603,0.70969,0.33209,0.11281,2.03672,2.932,1.35686,0.00063749,0.00063749,0.00063749
41,64.6548,1.98017,2.15307,1.3244,0.5264,0.04543,0.35348,0.16692,1.79634,2.81984,1.24454,0.00064962,0.00064962,0.00064962
42,66.0405,2.00272,2.31356,1.28369,0.65537,0.10968,0.25549,0.13022,1.80911,3.11277,1.22484,0.000661552,0.000661552,0.000661552
43,67.3472,2.02469,2.37806,1.31532,0.14179,0.57647,0.11776,0.06689,1.84692,3.57199,1.23225,0.000673285,0.000673285,0.000673285
