epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77868,1.70798,3.65838,1.07474,0.0002,0.01394,0.00012,2e-05,2.24125,5.64805,1.29088,0.00032906,0.00032906,0.00032906
2,17.8323,1.80044,3.85062,1.17831,0.00044,0.04021,0.00032,0.00016,2.03154,5.12961,1.23675,0.000659114,0.000659114,0.000659114
3,27.3212,1.88747,3.65104,1.19221,0.00094,0.10814,0.01508,0.00745,2.1039,4.98218,1.26835,0.000985869,0.000985869,0.000985869
4,37.9545,1.63478,3.40845,1.04197,0.82187,0.00755,0.01442,0.00652,2.0617,4.69968,1.25717,0.00098515,0.00098515,0.00098515
5,52.8119,1.69868,3.40802,1.02195,0.92871,0.05283,0.06426,0.02225,2.17185,4.2917,1.31153,0.0009802,0.0009802,0.0009802
6,67.8123,1.7167,3.33583,1.06503,0.90653,0.05283,0.06572,0.01835,2.20126,4.03556,1.3402,0.00097525,0.00097525,0.00097525
7,78.8602,1.50962,3.2689,0.95748,0.96911,0.0208,0.10007,0.02739,2.26972,3.81463,1.36511,0.0009703,0.0009703,0.0009703
8,88.5208,1.57538,3.01707,0.96235,0.94987,0.07898,0.10804,0.03137,2.31824,3.43769,1.38273,0.00096535,0.00096535,0.00096535
9,97.2927,1.63451,3.04396,0.99017,0.9559,0.09434,0.12903,0.0411,2.28426,3.40806,1.37065,0.0009604,0.0009604,0.0009604
10,107.088,1.60333,2.9609,0.97712,0.93405,0.08302,0.10433,0.027,2.54806,3.2573,1.48228,0.00095545,0.00095545,0.00095545
11,117.263,1.60959,2.91187,1.03906,0.97844,0.06252,0.12208,0.0325,2.48061,3.67621,1.46575,0.0009505,0.0009505,0.0009505
12,127.424,1.75041,2.91922,1.12053,0.93857,0.07665,0.09689,0.02535,2.69346,3.45138,1.57241,0.00094555,0.00094555,0.00094555
13,137.823,1.56792,2.59934,0.99179,0.95375,0.12546,0.12873,0.03249,2.65972,2.94672,1.56918,0.0009406,0.0009406,0.0009406
14,147.449,1.63288,2.5822,1.12304,0.96788,0.13809,0.14616,0.03744,2.64153,3.10512,1.58798,0.00093565,0.00093565,0.00093565
15,156.895,1.59926,2.52172,1.05985,0.98591,0.14934,0.16032,0.05127,2.45707,2.91412,1.50585,0.0009307,0.0009307,0.0009307
16,166.418,1.70837,2.54294,0.96687,0.98348,0.15849,0.16528,0.05986,2.3581,2.76803,1.45088,0.00092575,0.00092575,0.00092575
17,176.521,1.57568,2.57902,1.03033,0.97808,0.15334,0.16881,0.05949,2.32819,2.78955,1.42558,0.0009208,0.0009208,0.0009208
18,185.448,1.60693,2.41547,0.98184,0.94441,0.13962,0.1537,0.06127,2.17706,2.82568,1.36401,0.00091585,0.00091585,0.00091585
19,194.726,1.37124,2.28765,0.87342,0.93984,0.14035,0.14884,0.05276,2.2655,2.64361,1.37876,0.0009109,0.0009109,0.0009109
20,203.79,1.64504,2.36219,1.01579,0.96243,0.1434,0.15643,0.04839,2.36746,2.75205,1.41862,0.00090595,0.00090595,0.00090595
21,212.998,1.32469,2.32371,0.80778,0.97383,0.15038,0.16066,0.04327,2.3817,2.62659,1.42487,0.000901,0.000901,0.000901
22,222.837,1.64879,2.32955,1.04232,0.96275,0.1484,0.16557,0.0515,2.31595,2.49033,1.392,0.00089605,0.00089605,0.00089605
