epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,472.924,1.32532,1.85209,0.84752,0.96141,0.15784,0.17675,0.07129,2.08676,2.45023,1.3189,0.00079705,0.00079705,0.00079705
43,488.259,1.46327,2.0061,0.87404,0.95359,0.15472,0.1781,0.07418,2.04092,2.46727,1.30419,0.0007921,0.0007921,0.0007921
44,514.38,1.65707,1.95521,1.05007,0.96422,0.16226,0.27105,0.15624,2.08538,2.57808,1.31899,0.00078715,0.00078715,0.00078715
45,557.341,1.50636,1.83331,0.96207,0.77211,0.16981,0.27482,0.14348,2.15101,2.59436,1.33576,0.0007822,0.0007822,0.0007822
46,567.067,1.36641,1.89262,0.87775,0.77154,0.15849,0.27023,0.14349,2.12843,2.58755,1.32932,0.00077725,0.00077725,0.00077725
47,576.776,1.50285,1.7774,0.96317,0.56697,0.15849,0.26593,0.14231,2.05602,2.39951,1.30223,0.0007723,0.0007723,0.0007723
48,587.811,1.37403,1.80461,0.9115,0.37945,0.16481,0.27784,0.14585,2.02707,2.45268,1.28914,0.00076735,0.00076735,0.00076735
49,599.837,1.21416,1.82418,0.80585,0.37089,0.17736,0.22908,0.10853,2.03262,2.27041,1.28997,0.0007624,0.0007624,0.0007624
50,613.48,1.50559,1.85161,0.93301,0.38349,0.18113,0.22919,0.1076,2.16031,2.534,1.33965,0.00075745,0.00075745,0.00075745
51,624.905,1.46359,1.79421,0.95078,0.37941,0.17358,0.18497,0.06134,2.42797,2.32993,1.46181,0.0007525,0.0007525,0.0007525
52,635.506,1.43957,1.94674,0.91208,0.37147,0.16604,0.17355,0.0562,2.49879,2.19664,1.50633,0.00074755,0.00074755,0.00074755
53,645.167,1.35096,1.67715,0.87867,0.37479,0.15702,0.18261,0.05849,2.40692,1.89143,1.4573,0.0007426,0.0007426,0.0007426
54,654.733,1.48654,1.80357,0.92124,0.37102,0.15849,0.19893,0.06944,2.29814,1.87433,1.40122,0.00073765,0.00073765,0.00073765
55,664.473,1.35972,1.76172,0.84029,0.36956,0.15849,0.2196,0.08583,2.06916,1.95498,1.29162,0.0007327,0.0007327,0.0007327
56,674.332,1.48813,1.79559,0.94977,0.36207,0.16604,0.20212,0.08134,2.03302,1.94198,1.27291,0.00072775,0.00072775,0.00072775
57,684.817,1.23224,1.55717,0.83925,0.39048,0.15093,0.20858,0.08139,2.02389,1.93217,1.26856,0.0007228,0.0007228,0.0007228
58,695.766,1.47611,1.55147,0.91806,0.37247,0.16547,0.19886,0.0727,2.10647,1.82184,1.30263,0.00071785,0.00071785,0.00071785
59,707.588,1.48163,1.59519,0.91241,0.36362,0.16973,0.18932,0.0625,2.18319,1.97736,1.33988,0.0007129,0.0007129,0.0007129
60,719.28,1.57286,1.6222,1.00381,0.38458,0.17736,0.21047,0.07202,2.10588,1.95285,1.30509,0.00070795,0.00070795,0.00070795
61,729.861,1.30167,1.62538,0.79889,0.38498,0.18593,0.21164,0.07807,2.04278,2.0511,1.28765,0.000703,0.000703,0.000703
62,741.128,1.42411,1.55804,0.88299,0.39889,0.17358,0.20793,0.08006,2.00362,2.16282,1.27534,0.00069805,0.00069805,0.00069805
63,753.308,1.48718,1.7107,0.92604,0.37224,0.18734,0.20211,0.08116,1.98978,2.0388,1.26721,0.0006931,0.0006931,0.0006931
64,763.891,1.49998,1.65585,0.92259,0.35287,0.18868,0.19617,0.07866,2.01916,1.93388,1.2606,0.00068815,0.00068815,0.00068815
