epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7145,2.04045,4.08069,1.37567,0.00071,0.05664,0.00055,0.00025,2.12775,4.83475,1.41541,0.000331395,0.000331395,0.000331395
2,41.9388,1.70602,3.55209,1.13562,0.83396,0.02483,0.01518,0.00447,2.30572,4.20269,1.48858,0.000661438,0.000661438,0.000661438
3,64.5673,1.81219,3.45764,1.18218,0.8715,0.06069,0.04515,0.01186,2.37862,3.80283,1.5308,0.000988181,0.000988181,0.000988181
4,88.1921,1.68398,3.32544,1.04989,0.88157,0.0869,0.06619,0.01651,2.59387,3.60383,1.6257,0.00098515,0.00098515,0.00098515
5,112.254,1.79958,3.12282,1.11636,0.95348,0.13241,0.14416,0.04173,2.40381,2.88326,1.49284,0.0009802,0.0009802,0.0009802
6,134.224,1.74554,2.8729,1.06648,0.90915,0.13931,0.12692,0.04023,2.30605,2.50095,1.55038,0.00097525,0.00097525,0.00097525
7,162.154,1.58218,2.58539,0.99937,0.89681,0.12276,0.11213,0.04046,2.17434,3.27502,1.5133,0.0009703,0.0009703,0.0009703
8,183.199,1.56129,2.55508,1.04571,0.90852,0.13745,0.1293,0.05311,2.07931,2.701,1.43344,0.00096535,0.00096535,0.00096535
9,207.2,1.65524,2.39744,1.02265,0.87404,0.1531,0.07424,0.02891,2.19759,2.53268,1.46895,0.0009604,0.0009604,0.0009604
10,231.548,1.5353,2.37903,0.98267,0.89666,0.14069,0.11252,0.0417,2.18477,2.86916,1.45674,0.00095545,0.00095545,0.00095545
11,253.45,1.54985,2.2704,1.03085,0.89545,0.1209,0.09814,0.03342,2.22978,3.40562,1.47356,0.0009505,0.0009505,0.0009505
12,277.877,1.48363,2.19284,0.96465,0.90074,0.13241,0.11172,0.04456,2.09606,3.00685,1.39836,0.00094555,0.00094555,0.00094555
13,299.665,1.60741,2.17586,1.07326,0.9186,0.11586,0.12691,0.04794,2.19802,2.70821,1.46738,0.0009406,0.0009406,0.0009406
