epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27238,2.35965,3.98489,1.92418,0.00404,0.09855,0.01002,0.00625,1.89388,4.2771,1.43471,9e-05,9e-05,9e-05
2,2.40601,2.74087,4.19691,2.08903,0.00404,0.09855,0.01002,0.00625,1.89388,4.2771,1.43471,0.000188119,0.000188119,0.000188119
3,3.5543,2.10797,3.82389,1.8964,0.00571,0.1092,0.00932,0.00356,1.86669,4.27308,1.41518,0.000284258,0.000284258,0.000284258
4,4.72478,2.59276,4.26697,1.94925,0.00571,0.1092,0.00932,0.00356,1.86669,4.27308,1.41518,0.000378417,0.000378417,0.000378417
5,5.8878,2.40017,4.0784,2.02724,0.00571,0.1092,0.00932,0.00356,1.86669,4.27308,1.41518,0.000470596,0.000470596,0.000470596
6,7.2106,2.82307,4.25303,2.15614,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000560795,0.000560795,0.000560795
7,8.48848,2.53952,4.03115,2.10362,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000649014,0.000649014,0.000649014
8,9.72414,2.53972,4.26011,1.85621,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000735253,0.000735253,0.000735253
9,11.1893,2.22482,4.15776,1.86102,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000819512,0.000819512,0.000819512
10,12.3645,1.76977,3.60792,1.51983,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000901791,0.000901791,0.000901791
11,13.5969,2.67669,4.16375,2.02446,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.000901,0.000901,0.000901
12,15.0667,2.21467,4.04635,1.85337,0.00514,0.04355,0.0032,0.00068,1.98275,4.21539,1.48797,0.0008911,0.0008911,0.0008911
13,16.7434,2.28281,4.00011,1.90412,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008812,0.0008812,0.0008812
14,18.1696,1.88642,3.81821,1.64337,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008713,0.0008713,0.0008713
15,19.8851,2.41548,3.99575,1.73851,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008614,0.0008614,0.0008614
16,21.0909,2.33854,3.84278,1.91409,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008515,0.0008515,0.0008515
17,22.5085,2.89874,3.97226,1.93449,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008416,0.0008416,0.0008416
18,23.8374,2.29217,4.09955,1.74042,0.01451,0.20314,0.01277,0.00425,2.21752,3.95054,1.65931,0.0008317,0.0008317,0.0008317
19,25.1359,2.40347,3.94636,1.89225,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0008218,0.0008218,0.0008218
20,26.4094,2.02588,3.57679,1.59042,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0008119,0.0008119,0.0008119
21,27.644,1.88136,3.61218,1.66624,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.000802,0.000802,0.000802
22,28.833,2.3456,3.83735,2.05145,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0007921,0.0007921,0.0007921
23,30.0596,1.85846,3.67526,1.59823,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0007822,0.0007822,0.0007822
24,31.3587,2.41272,3.98188,1.86875,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0007723,0.0007723,0.0007723
25,32.594,2.07283,3.61757,1.58845,0.02555,0.40825,0.04127,0.01223,2.45655,3.38939,1.784,0.0007624,0.0007624,0.0007624
26,33.8818,2.16014,3.65099,1.8033,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.0007525,0.0007525,0.0007525
27,35.1153,2.33605,3.76003,1.92833,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.0007426,0.0007426,0.0007426
28,36.36,1.8609,3.5234,1.5753,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.0007327,0.0007327,0.0007327
29,37.5952,1.9708,3.72567,1.70622,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.0007228,0.0007228,0.0007228
30,38.9018,2.38032,3.72331,1.8598,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.0007129,0.0007129,0.0007129
31,40.243,1.98944,3.71981,1.62015,0.02746,0.38297,0.05291,0.01517,2.4633,3.14949,1.78269,0.000703,0.000703,0.000703
32,41.6461,1.98482,3.5895,1.54675,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006931,0.0006931,0.0006931
33,43.0684,2.05467,3.67805,1.75956,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006832,0.0006832,0.0006832
34,44.3151,2.19667,3.60302,1.77601,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006733,0.0006733,0.0006733
35,45.7105,2.12291,3.57225,1.79659,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006634,0.0006634,0.0006634
36,47.2435,1.95533,3.46444,1.59822,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006535,0.0006535,0.0006535
37,48.6078,2.14577,3.46603,1.66988,0.52282,0.15572,0.09417,0.03464,2.30428,2.85734,1.71209,0.0006436,0.0006436,0.0006436
38,50.0559,2.33613,3.6871,1.82322,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0006337,0.0006337,0.0006337
39,51.7152,2.38668,3.63962,1.75888,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0006238,0.0006238,0.0006238
40,53.0728,2.17873,3.39143,1.76191,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0006139,0.0006139,0.0006139
41,54.5731,2.25705,3.73465,1.79305,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.000604,0.000604,0.000604
42,56.294,2.05825,3.55109,1.59361,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0005941,0.0005941,0.0005941
43,57.6409,2.03622,3.81304,1.48601,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0005842,0.0005842,0.0005842
44,58.9932,2.15581,3.39955,1.59277,0.55067,0.20502,0.12526,0.05124,2.22243,2.72414,1.68663,0.0005743,0.0005743,0.0005743
45,60.3165,2.01281,3.22124,1.45588,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005644,0.0005644,0.0005644
46,61.5514,2.15081,3.40275,1.74431,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005545,0.0005545,0.0005545
47,62.8915,2.05346,3.45329,1.60344,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005446,0.0005446,0.0005446
48,64.1505,1.97369,3.49527,1.45971,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005347,0.0005347,0.0005347
49,65.4656,2.52327,3.53294,1.62695,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005248,0.0005248,0.0005248
50,66.8935,2.27637,3.573,1.58744,0.56131,0.23948,0.15254,0.06298,2.26652,2.60329,1.68659,0.0005149,0.0005149,0.0005149
51,68.2318,2.19458,3.31313,1.72275,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.000505,0.000505,0.000505
52,69.6596,2.02911,3.34314,1.6118,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004951,0.0004951,0.0004951
53,71.5005,2.30641,3.48157,1.75671,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004852,0.0004852,0.0004852
54,73.1433,2.00197,3.26219,1.80584,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004753,0.0004753,0.0004753
55,74.6382,1.99063,3.19259,1.50187,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004654,0.0004654,0.0004654
56,76.148,2.10895,3.41261,1.59953,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004555,0.0004555,0.0004555
57,77.7754,2.00808,3.45784,1.71033,0.59576,0.24436,0.16993,0.07309,2.1802,2.4973,1.65499,0.0004456,0.0004456,0.0004456
58,79.4816,2.2256,3.38434,1.47683,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.0004357,0.0004357,0.0004357
59,81.0123,1.66748,3.24926,1.40727,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.0004258,0.0004258,0.0004258
60,82.6138,2.10056,3.17208,1.6713,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.0004159,0.0004159,0.0004159
61,83.9441,1.8942,3.26467,1.43897,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.000406,0.000406,0.000406
62,85.3016,2.3084,3.261,1.7591,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.0003961,0.0003961,0.0003961
63,86.663,1.86272,3.31922,1.43082,0.5898,0.27481,0.195,0.08409,2.20144,2.46498,1.65645,0.0003862,0.0003862,0.0003862
64,87.9633,2.4754,3.34137,1.71511,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003763,0.0003763,0.0003763
65,89.2576,1.61257,3.29803,1.4142,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003664,0.0003664,0.0003664
66,90.6938,2.17427,3.17441,1.66668,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003565,0.0003565,0.0003565
67,92.043,2.12445,3.10286,1.62742,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003466,0.0003466,0.0003466
68,93.2512,1.74444,3.33243,1.34843,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003367,0.0003367,0.0003367
69,94.6803,2.13644,3.21191,1.77547,0.59291,0.31101,0.2012,0.08635,2.18465,2.47417,1.63392,0.0003268,0.0003268,0.0003268
70,96.1535,2.22806,3.334,1.77012,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0003169,0.0003169,0.0003169
71,97.6366,2.35556,3.2316,1.67689,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.000307,0.000307,0.000307
72,99.4176,2.40265,3.28697,1.60311,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0002971,0.0002971,0.0002971
73,100.799,2.16584,3.27894,1.82756,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0002872,0.0002872,0.0002872
74,102.414,1.97485,3.31857,1.56727,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0002773,0.0002773,0.0002773
75,103.813,1.9056,3.3709,1.46432,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0002674,0.0002674,0.0002674
76,105.126,2.17485,3.11541,1.70322,0.57798,0.31508,0.20844,0.08773,2.2169,2.45653,1.64107,0.0002575,0.0002575,0.0002575
77,106.548,1.75847,3.18053,1.43866,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.0002476,0.0002476,0.0002476
78,108.148,2.07185,3.13394,1.73633,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.0002377,0.0002377,0.0002377
79,109.58,1.75917,3.18463,1.51157,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.0002278,0.0002278,0.0002278
80,111.081,2.20903,3.2243,1.82564,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.0002179,0.0002179,0.0002179
81,112.624,2.20724,3.36565,1.78837,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.000208,0.000208,0.000208
82,113.968,2.3368,3.19446,1.68291,0.57799,0.29819,0.21267,0.08794,2.19151,2.49208,1.63719,0.0001981,0.0001981,0.0001981
83,115.659,2.01731,3.64821,1.45832,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001882,0.0001882,0.0001882
84,116.946,2.11537,3.32552,1.55769,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001783,0.0001783,0.0001783
85,118.295,2.20293,3.26368,1.71447,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001684,0.0001684,0.0001684
86,119.567,2.13621,3.176,1.60756,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001585,0.0001585,0.0001585
87,120.901,2.27916,3.31288,1.64768,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001486,0.0001486,0.0001486
88,122.208,1.90657,3.21326,1.53673,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001387,0.0001387,0.0001387
89,123.627,2.18729,3.46736,1.68567,0.57925,0.28699,0.22127,0.09121,2.20172,2.4977,1.63744,0.0001288,0.0001288,0.0001288
90,125.058,2.36582,3.28661,1.67792,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,0.0001189,0.0001189,0.0001189
91,126.29,1.84594,2.96491,1.60318,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,0.000109,0.000109,0.000109
92,127.771,1.72008,3.01376,1.36788,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,9.91e-05,9.91e-05,9.91e-05
93,129.142,1.58209,3.01232,1.24517,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,8.92e-05,8.92e-05,8.92e-05
94,130.668,1.79421,3.3814,1.3899,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,7.93e-05,7.93e-05,7.93e-05
95,131.982,1.79727,2.93426,1.38557,0.56409,0.31278,0.21326,0.08626,2.2087,2.47997,1.64555,6.94e-05,6.94e-05,6.94e-05
96,133.357,1.82108,3.02905,1.28613,0.55907,0.34084,0.22216,0.08852,2.23446,2.37358,1.63408,5.95e-05,5.95e-05,5.95e-05
97,134.608,1.87048,3.07223,1.49428,0.55907,0.34084,0.22216,0.08852,2.23446,2.37358,1.63408,4.96e-05,4.96e-05,4.96e-05
98,136.143,1.66636,2.86372,1.22619,0.55907,0.34084,0.22216,0.08852,2.23446,2.37358,1.63408,3.97e-05,3.97e-05,3.97e-05
99,137.75,1.84666,2.98368,1.40163,0.55907,0.34084,0.22216,0.08852,2.23446,2.37358,1.63408,2.98e-05,2.98e-05,2.98e-05
